Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2020-06-06,0.2032595468,0.2043799778,0.2058805208,0.2013729537
XRP,2020-06-07,0.2036504174,0.2032575869,0.2048704605,0.2013230894
XRP,2020-06-08,0.2030968132,0.2036504157,0.2049094298,0.1987044394
XRP,2020-06-09,0.2042244228,0.2030968418,0.2043818927,0.2013159666
XRP,2020-06-10,0.2017505736,0.2042009432,0.2051967886,0.1997375654
XRP,2020-06-11,0.2026032611,0.2017689757,0.2037809695,0.1997340298
XRP,2020-06-12,0.1879368341,0.20260327,0.2036140754,0.1846303204
XRP,2020-06-13,0.192848271,0.1879409786,0.1951034738,0.1868804352
XRP,2020-06-14,0.192529782,0.1928485458,0.1937597852,0.1908871381
XRP,2020-06-15,0.1905412147,0.192529782,0.1926721481,0.1886686638
XRP,2020-06-16,0.1926509526,0.1905394118,0.1934544566,0.1819942922
XRP,2020-06-17,0.1919377288,0.192652197,0.1939980191,0.1903585036
XRP,2020-06-18,0.1931998636,0.1919378334,0.1986918704,0.1884163332
XRP,2020-06-19,0.1900609184,0.1931990836,0.1933532262,0.1880857788
XRP,2020-06-20,0.1867209049,0.1900713108,0.1901777683,0.1865451478
XRP,2020-06-21,0.1880511597,0.1867088034,0.1888259888,0.1847796695
XRP,2020-06-22,0.1857377741,0.1880510705,0.188364111,0.1855584283
XRP,2020-06-23,0.1897518358,0.1857415211,0.1903536605,0.1855697128
XRP,2020-06-24,0.1887640563,0.1897515527,0.1904498436,0.1883690217
XRP,2020-06-25,0.1838391076,0.188767814,0.1900656677,0.1815461086
XRP,2020-06-26,0.1816840869,0.1838384413,0.183946072,0.1785750867
XRP,2020-06-27,0.1830036092,0.1816937199,0.1868317032,0.1783740725
XRP,2020-06-28,0.1759058836,0.1830031143,0.1833585901,0.1693314767
XRP,2020-06-29,0.1767573131,0.1759056925,0.1797899477,0.1732741263
XRP,2020-06-30,0.1774300595,0.1767580829,0.1791554052,0.1749355578
XRP,2020-07-01,0.1753667487,0.1774300495,0.1776594634,0.1748581038
