Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XLM,2020-05-08,0.0724312849,0.0715975789,0.0735976071,0.068811905
XLM,2020-05-09,0.0731734115,0.0724300219,0.074648353,0.0705238095
XLM,2020-05-10,0.0718545589,0.0731624014,0.0738341914,0.0715356116
XLM,2020-05-11,0.0639684157,0.0718513679,0.0722869625,0.0593675641
XLM,2020-05-12,0.0619866107,0.064149604,0.0651549466,0.0603827623
XLM,2020-05-13,0.0696818139,0.0619840867,0.0703145331,0.0615652516
XLM,2020-05-14,0.0699617726,0.0702415956,0.0709145919,0.068103668
XLM,2020-05-15,0.0693872278,0.069961366,0.0707795232,0.0680361317
XLM,2020-05-16,0.0678523872,0.069299653,0.0698489567,0.0668049758
XLM,2020-05-17,0.068045478,0.0678526361,0.068506438,0.0666003812
XLM,2020-05-18,0.0697818298,0.0680456987,0.0715986596,0.0678332225
XLM,2020-05-19,0.0700365789,0.0687405145,0.0712640033,0.0686085489
XLM,2020-05-20,0.0697915341,0.0700299958,0.0703634483,0.0684867367
XLM,2020-05-21,0.0710414081,0.0697910125,0.0720856992,0.0675825296
XLM,2020-05-22,0.0671805705,0.0710179399,0.0717420513,0.0641055774
XLM,2020-05-23,0.0684486563,0.0671802101,0.0693770801,0.065438046
XLM,2020-05-24,0.0674625739,0.0684486563,0.0692350817,0.0666797256
XLM,2020-05-25,0.0664843353,0.0674571693,0.0682478602,0.0650841481
XLM,2020-05-26,0.065715901,0.0664842671,0.0665734548,0.063413145
XLM,2020-05-27,0.0647435832,0.0657157911,0.0663973811,0.0636240073
XLM,2020-05-28,0.0658896441,0.0647435831,0.0676590721,0.0645381976
XLM,2020-05-29,0.0693588752,0.065889096,0.0694111848,0.0632159378
XLM,2020-05-30,0.0674706343,0.0693659042,0.0699204833,0.0669441805
XLM,2020-05-31,0.0725951903,0.0677555876,0.0730135818,0.0670975336
XLM,2020-06-01,0.0703012104,0.0726018083,0.0764332514,0.068938029
XLM,2020-06-02,0.0761378241,0.0702997403,0.0764390667,0.0699358181
XLM,2020-06-03,0.0794545988,0.0761203023,0.0843856653,0.0733775132
XLM,2020-06-04,0.0827292645,0.0794548394,0.0832316584,0.076832255
XLM,2020-06-05,0.0824434068,0.0827515031,0.0862921574,0.0791519991
XLM,2020-06-06,0.0797188126,0.0824451663,0.0829745301,0.0788269381
XLM,2020-06-07,0.0802757358,0.0797174296,0.0811608833,0.0782645586
XLM,2020-06-08,0.0785391891,0.080275735,0.080685585,0.075522989
XLM,2020-06-09,0.079872792,0.0785392037,0.0803592979,0.0780881459
XLM,2020-06-10,0.0785920441,0.0798728157,0.0803357538,0.0773270567
XLM,2020-06-11,0.0788432586,0.0785908401,0.0791798788,0.0777852936
XLM,2020-06-12,0.0707631227,0.078843247,0.0792870999,0.0688042857
